company_id,roe,opm_percentage,net_profit,eps,profit_before_tax,valuation_score,valuation_rating
CIPLA,0.0,5027.0,2833,35.0,4038,2358.0,Strong
CIPLA,0.0,6291.0,4154,51.0,5702,3133.5,Strong
CIPLA,0.0,6906.0,4987,62.0,6576,3567.8999999999996,Strong
COALINDIA,0.0,18087.0,17356,27.0,24979,10632.9,Strong
COALINDIA,0.0,17766.0,15112,24.0,22880,9863.4,Strong
COALINDIA,0.0,17343.0,13727,22.0,21584,9321.0,Strong
COALINDIA,0.0,18714.0,14267,23.0,21440,9894.3,Strong
COALINDIA,0.0,12448.0,9280,15.0,14446,6518.4,Strong
COALINDIA,0.0,9288.0,7038,11.0,10770,4897.8,Strong
COALINDIA,0.0,25007.0,17464,28.0,27127,12741.3,Strong
COALINDIA,0.0,21581.0,16700,27.0,24071,11484.3,Strong
COALINDIA,0.0,18628.0,12702,21.0,18009,9399.0,Strong
COALINDIA,0.0,24721.0,17378,28.0,23616,12629.699999999999,Strong
COALINDIA,0.0,44232.0,31723,52.0,43275,22786.5,Strong
COALINDIA,0.0,47971.0,37369,61.0,48813,25602.0,Strong
COALINDIA,0.0,46610.0,34350,56.0,45523,24288.0,Strong
DABUR,0.0,16.0,766,4.0,948,234.6,Strong
DABUR,0.0,16.0,916,5.0,1136,279.6,Strong
DABUR,0.0,17.0,1068,6.0,1319,325.5,Strong
DABUR,0.0,20.0,1254,7.0,1554,382.2,Strong
DABUR,0.0,20.0,1280,7.0,1611,390.0,Strong
DABUR,0.0,21.0,1358,8.0,1693,413.7,Strong
DABUR,0.0,20.0,1446,8.0,1725,439.8,Strong
DABUR,0.0,21.0,1448,8.0,1728,440.7,Strong
DABUR,0.0,21.0,1695,10.0,2056,514.8,Strong
DABUR,0.0,21.0,1742,10.0,2269,528.9,Strong
DABUR,0.0,19.0,1701,10.0,2219,516.0,Strong
DABUR,0.0,19.0,1811,10.0,2359,549.0,Strong
DABUR,0.0,19.0,1760,10.0,2302,533.7,Strong
DIVISLAB,0.0,38.0,602,23.0,781,192.0,Strong
DIVISLAB,0.0,40.0,773,29.0,991,243.89999999999998,Strong
DIVISLAB,0.0,38.0,852,32.0,1072,267.0,Strong
DIVISLAB,0.0,38.0,1126,42.0,1393,349.2,Strong
DIVISLAB,0.0,36.0,1060,40.0,1395,328.8,Strong
DIVISLAB,0.0,33.0,877,33.0,1231,272.99999999999994,Strong
DIVISLAB,0.0,38.0,1353,51.0,1855,417.29999999999995,Strong
